,-25,-5,0,5,10,15
50,19.999999999979998,19.9999998,20.0,19.9999999998,20.0,19.99998
66,3.996,3.9999999996,4.0,3.99999996,4.0,3.9996
82,-11.88,-10.8,-11.988,0.0,0.0,-10.8
58,0.0,11.999988,11.988,10.8,11.999999999988,10.8
54,0.0,16.1298,14.4,15.984,14.4,0.0
61,8.991,9.0,9.0,8.999991,9.0,8.9999999991
81,-10.999999988999999,-10.99999999989,-11.0,-11.0,-11.0,-10.99999999989
101,-30.9999999969,-30.999999999969,-30.999969,-30.999999999999968,-30.999999999999968,-30.9999969
78,-7.999992,-7.99999999992,-7.9992,-7.2,-8.0,-7.992
85,-14.99999999985,-14.999999985,-14.99999999985,-14.999999999985,-14.9999999985,-14.99999985
70,0.0,0.0,0.0,0.0,0.0,0.0
80,-10.0,-10.0,-9.999999,-10.0,-9.999999999999,-9.999999
97,0.0,0.0,-26.9973,0.0,-24.3,-26.73
99,-28.971,-28.9971,-28.999999971,-28.99999999999971,-28.99971,-28.971
116,-45.999954,-45.999954,-45.99999999999996,-45.99999954,-45.999999954,-45.999999954
118,-47.9999952,-48.0,-47.9999999952,-48.0,-47.99999999999999,-47.99999952
138,-67.999999932,-67.9999932,-68.0,-68.0,-67.99932,-68.0
153,-83.0,-83.0,-82.9999999917,-82.999999917,-83.0,-82.99999999999991
168,-97.99999999999902,-97.99999999999999,-97.9999999999902,-98.0,-97.9999999999902,-97.99999999902
188,-117.999999999882,-117.999999882,-117.9999882,-117.999999882,-117.99882,-117.99999999999999
190,-118.8,-108.0,0.0,0.0,0.0,0.0
72,-1.9998,-2.0,-2.0,-1.99999998,-2.0,-1.999998
83,-13.0,-13.0,-12.999999999869999,-12.999999999869999,-12.999999999987,-13.0
95,-24.9999999999975,-24.999999999999996,-24.999999999975,-24.999999999975,-24.9975,-24.999999999975
106,-35.999999999639996,-35.999999999964,-35.999999964,-36.0,-36.0,-36.0
111,-40.999999959,-40.999959,-40.9999999999959,-40.99999959,-40.999999959,-40.9999999959
126,-55.999944,-55.99999999944,-55.99944,-55.999999999944,-55.9944,-55.999999439999996
135,-64.99934999999999,-64.999935,-64.9999999935,-64.9999999935,-64.99934999999999,-64.999999935
140,-69.3,-69.9993,-69.9993,-69.993,-69.999993,-69.9999993
165,0.0,-94.9905,-94.05,-85.5,-94.905,-94.9905
167,-87.3,-87.3,-96.03,-96.03,0.0,-87.3
174,-102.96000000000001,-93.60000000000001,-93.60000000000001,0.0,-102.96000000000001,-93.60000000000001
171,-90.9,-99.99,0.0,-99.99,0.0,-90.9
208,-137.9999862,-136.62,-137.9862,-137.999862,-137.999999999862,-137.999862
193,-122.999877,-122.877,-123.0,-122.9877,-121.77,-122.99999877
228,-157.99842,-157.9842,-157.99842,-142.20000000000002,-142.20000000000002,-142.20000000000002
233,-162.999837,-161.37,-161.37,-162.99837,-161.37,-162.9837
210,0.0,0.0,0.0,0.0,0.0,0.0
121,-51.0,-50.99999999949,-50.999999949,-50.999949,-50.99999949,-50.999949
98,-27.999972,-27.999999972,-27.9999999972,-28.0,-27.9999972,-27.99999999972
105,-34.999965,-34.99965,-35.0,-34.9999965,-34.999999999965,-35.0
115,-45.0,-44.9999999999955,-44.99999999999999,-44.999999955,-44.99999955,-44.999955
100,-29.9997,-29.7,-29.999999997,-29.9999999999997,-29.99999999999997,-29.9999999997
107,-33.300000000000004,-36.63,-36.963,-36.63,-36.9963,-33.300000000000004
119,-48.9999951,-48.51,-48.999951,-48.9951,-48.99951,-48.51
96,-25.9999999999974,-26.0,-26.0,-26.0,-25.999999999739998,-25.99999999999974
113,-42.999999999957,-42.999999957,-43.0,-42.999957,-42.99999999957,-42.999999999957
128,-57.9999999999942,-58.0,-57.9999999999942,-57.99999999999942,-57.99999999999994,-57.99999999999994
130,-59.999994,-54.0,-59.94,-59.99999999994,-59.9994,-59.9999994
51,18.81,18.999981,18.999981,18.9981,19.0,18.9981
