,-15,-10,-5,0,5,10,15
50,19.985,19.99999999,19.5,20.0,19.995,19.99999999,19.85
53,8.0,16.6,17.0001,17.0,16.5,7.0,15.5
54,15.9999999993,16.0,16.0,16.0003408642,15.95,6.0,14.5
55,14.9999999995,15.0,15.0005,15.15309,14.95,14.0,14.985
56,14.0,14.000002,14.0,14.000000000000018,13.95,13.999,13.75
61,9.000000000000007,9.00000001,9.000000000005,9.0,8.95,8.999999999998,8.75
64,6.00000013,6.000000000000001,6.000000005,6.0000001134,1.0,4.0,3.5
71,-0.9999999997258145,-0.999999999999,-0.999999995,-0.9209,-16.0,-3.0,-3.5
45,14.985,14.0,10.0,15.0246159,15.05,15.0,14.5
68,2.15,12.0,2.005,2.02139901902,1.985,-18.0,-23.0
74,-3.99999998311,-3.99999999,-3.995,-5.0,-19.0,-24.0,-29.0
59,11.00001569,11.000000000008,11.0,11.0,6.0,10.99,-14.0
46,16.0000147,15.999,15.999995,16.0,16.3,15.9999998,15.9999993
40,22.080000000000005,0.0,5.0,10.0,10.00000005,11.0,15.0
38,15.219999999999999,-12.0,3.0,8.0,13.0,18.0,17.0
27,-28.0,-23.0,-18.0,-13.0,2.0,13.39,12.0
39,-16.0,7.0,4.0,9.0,14.0,9.1639,16.0
51,18.99987,18.999200000000002,18.9997,19.0,18.9995,19.0,17.5
60,10.05,10.0001,10.000005,10.0,9.95,9.99999,-15.0
49,18.99985,18.0,18.99995,19.0,18.7,19.0,18.87
69,1.0,1.00001,1.05,1.0,-14.0,-19.0,-24.0
76,-5.9999985,-5.9999999,-6.0000000000005,-7.0,-21.0,-26.0,-8.5
65,5.0000015,5.1,5.005,5.0,4.999995,4.999998,2.5
73,-2.9999985000000002,-2.99,-2.995,-3.000001,-4.5,-23.0,-28.0
83,-12.9999999985,-13.0,-13.05,-13.01,-28.0,-15.0,-38.0
87,-16.9995,-17.0,-22.0,-27.0,-32.0,-37.0,-42.0
66,4.0,4.0,4.0000000000005,4.0,3.985,3.8,-21.0
85,-14.99999985,-15.0,-15.5,-25.0,-16.5,-35.0,-40.0
103,-32.95,-33.0,-38.0,-43.0,-48.0,-53.0,-58.0
91,-20.95,-21.0,-26.0,-31.0,-36.0,-23.0,-46.0
79,-8.9985,-8.0,-9.05,-10.0,-24.0,-29.0,-34.0
63,7.0011,7.00001,7.5,7.0,6.5,-13.0,-18.0
67,3.15,4.0,3.5,3.0,-12.0,-17.0,-22.0
96,-25.95,-26.0,-31.0,-36.0,-41.0,-46.0,-51.0
84,-13.85,-14.0,-19.0,-15.0,-15.5,-34.0,-39.0
89,-18.5,-19.0,-24.0,-20.0,-34.0,-39.0,-44.0
70,0.00014999999999999974,9.999999999999984e-09,4.999999999999997e-05,0.0,-0.1499999999999999,-2.0,-25.0
62,17.0,8.01,8.05,8.0,7.95,-12.0,-17.0
81,-10.99985,-11.0,-11.005,-21.0,-26.0,-31.0,-36.0
86,-15.95,-16.0,-21.0,-26.0,-31.0,-36.0,-41.0
43,-12.0,3.0,8.0,13.0,18.0,17.0,12.0
47,15.5,7.0,16.95,17.0,18.0,13.0,8.0
34,-21.0,2.0,-11.0,4.0,4.5,4.00001,19.0
26,-29.0,-24.0,-19.0,-14.0,1.0,-3.0,11.0
35,-20.0,-15.0,0.0,5.0,10.0,5.1,20.0
52,7.0,12.0,17.9999999,18.0,13.0,8.0,3.0
44,11.5,13.999,13.5,14.0,14.00005,14.002,11.0
88,-17.5,-18.0,-18.05,-28.0,-33.0,-38.0,-43.0
78,-7.9985,-7.99,-8.00005,-18.0,-23.0,-8.2,-33.0
41,8.5,10.9,10.9995,11.0,11.5,19.0,11.3
77,-6.999985,-6.999999,-7.005,-17.0,-22.0,-27.0,-32.0
75,-4.9985,-4.999,0.0,-5.1,-20.0,-25.0,-7.5
58,12.000001,12.6,17.0,12.0,11.5,2.0,-13.0
72,-1.9985,-1.9,3.0,-12.0,-17.0,-22.0,-27.0
25,-30.0,-25.0,-20.0,-15.0,0.0,5.0,10.0
36,-19.0,-14.0,1.0,6.0,6.5,6.01,6.013
29,-26.0,-21.0,-16.0,-11.0,-0.95,9.0,14.0
82,-11.985,-12.0,-12.5,-22.0,-27.0,-32.0,-37.0
93,-22.95,-23.0,-28.0,-33.0,-38.0,-43.0,-48.0
57,12.0,13.04,13.00005,13.0,8.0,3.0,-12.0
80,-9.9985,0.0,-15.0,-20.0,-25.0,-30.0,-35.0
101,-30.5,-31.0,-36.0,-41.0,-46.0,-51.0,-56.0
90,-19.5,-20.0,-25.0,-30.0,-35.0,-40.0,-45.0
31,-24.0,-19.0,-14.0,1.0,6.0,11.0,2.5
30,-25.0,-20.0,-15.0,0.0,5.0,10.0,15.0
